User ID,Full Name,Late Days Left,Orientation Quiz,Week 1 Quiz 1,Week 1 Quiz 2,Week 2 Quiz 1,Week 2 Quiz 2,Week 3 Quiz 1,Week 3 Quiz 2,Week 4 Quiz 1,Week 4 Quiz 2,Week 5 Quiz 1,Week 5 Quiz 2,Week 6 Quiz 1,Week 6 Quiz 2,Week 7 Quiz 1,Week 7 Quiz 2,Week 8 Quiz 1,Week 8 Quiz 2,Final Exam,Week 3 Discussion Samples,Week 5 Discussion Samples,Week 7 Discussion Samples
84464,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
84797,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
91195,XXXXX,0,5,14,1.3,17,7,18,,,,,,,,,,,,,,,
91293,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
91775,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
92703,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
92800,XXXXX,0,0,,,,,,,,,3,,,,,,,,,,,
94907,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
95210,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
97421,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
98704,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
99379,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
101046,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
101812,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
103543,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
103834,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
106033,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
111974,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
112638,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
112731,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
113304,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
114709,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
114794,XXXXX,0,2.5,5,0.6,,,,,,,,,,,,,,,,,,
115158,XXXXX,0,5,16,3,17,3.5,15,4.83333,8,2.11607,15,3.55556,11,0,16,,5.5,1.92857,,56,,
115607,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
115842,XXXXX,0,0,,,,,,,,,,,,,,,,,,,,
118640,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
119485,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
119697,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
123063,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
123301,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
123328,XXXXX,0,5,13,2.4,10,7,15,4.5,17,3.9881,10,4.3254,13,5,19,4.57143,17,1.71429,31,,,
123520,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
126851,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
128642,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
128739,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
128985,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
129012,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
129335,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
129450,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
130102,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
130134,XXXXX,0,5,12,2.6,13,,,,,,,,,,,,,,,,,
130597,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
131086,XXXXX,0,2.5,6.5,,15,6,7,2.25,0,0,4.5,1.214285,6.5,,,,,,,,,
131446,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
132933,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
134318,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
135285,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
136188,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
136227,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
137412,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
138153,XXXXX,0,5,16,4,,,,,,,,,,,,,,,,,,
138605,XXXXX,0,5,16,4.8,18,6,16,5,18,4.08333,13,4.88889,16,5,15,3.71429,17,3.85714,,,,
139146,XXXXX,0,3,,,,,,,,,,,,,,,,,,,,
139812,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
143456,XXXXX,0,,10,,,,,,,,,,,,,,,,,,,
145236,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
145541,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
146688,XXXXX,0,5,11,2.8,19,5,13,5,18,3.4881,11,4,15,5,17,4.85714,11,2.71429,0,66,65,77
147664,XXXXX,0,5,15,4,12,0,6.5,1.833335,19,1.38988,13,4.44444,8.5,2.5,17,2.85714,17,1.285715,34,,40,69
148328,XXXXX,0,2.5,0,,9,2,7,,,,,,,,,,,,,,,
148462,XXXXX,0,2.5,6.5,0.8,12,,,,,,,,,,,,,,,,,
150386,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
151566,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
151585,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
152110,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
152193,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
152933,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
153097,XXXXX,0,5,15,0.4,15,,,,,,,,,,,,,,,,,
153396,XXXXX,0,5,12,3.8,17,7,16,4,17,4.44048,14,3.54762,19,5,17,4.85714,17,5,34,74,75.5,66.5
153712,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
153867,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
154817,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
159313,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
160657,XXXXX,0,0,,,,,,,,,,,,,,,,,,,,
162234,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
162493,XXXXX,0,,,,11,6,17,5,17,5,15,5,14,6,15,5,,2,,,,
162591,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
162893,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
164099,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
164385,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
165601,XXXXX,0,5,0,,,,,,,,,,,,,,,,,,,
166199,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
167239,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
168589,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
169651,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
169834,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
170228,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
170844,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
171715,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
174358,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
174861,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
176087,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
177570,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
177833,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
178313,XXXXX,0,5,11,,,,,,,,,,,,,,,,,,,
178319,XXXXX,0,5,15,5,16,7,13,6,18,4.45833,12,4.04762,17,6,18,3.85714,16,2.85714,,,,
178727,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
178831,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
178880,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
179201,XXXXX,0,5,7.5,2.3,11,,,,,,,,,,,,,,,,,
180379,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
181130,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
182492,XXXXX,0,5,,,,,,,,,,,,,,,,,,,,
182638,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
182798,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
182804,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
183475,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
